"","coordinates_lat","coordinates_lon","date","zipCode"
"186",56.280483,10.313773,2001-06-30,8541
"187",55.655304,12.607747,2001-08-22,2300
"188",56.330673,10.044087,1998-09-28,8370
"189",55.95389,12.027095,1997-11-17,3300
"190",55.500813,8.42517,2005-12-12,6710
"191",55.02984,9.102645,2014-09-26,6372
"192",55.42936,10.028998,1998-04-02,5463
"193",55.21031,9.43222,2016-07-25,6100
"194",57.148846,9.870505,2012-01-18,9430
"195",56.771038,9.34002,1993-08-16,9640
"196",55.02928,14.954295,2022-05-11,3720
"197",55.68327,12.405974,2005-03-08,2600
"198",56.446945,9.40722,1995-10-30,8800
"199",55.72129,12.447963,2000-06-25,2730
"200",55.64575,12.402496,2018-06-20,2605
"201",55.766697,9.703155,2013-04-10,8722
"202",55.387074,11.9374895,2013-10-17,4100
"203",55.847134,11.496982,2020-05-31,4550
"204",56.59799,9.666968,2016-09-19,9500
"205",57.04734,10.350877,2000-04-14,9370
"206",55.355747,10.347601,2017-10-03,5250
"207",55.971924,9.20593,2014-09-09,7361
"208",55.90314,8.530982,2005-04-26,6880
"209",55.39576,10.407862,1999-08-04,5000
"210",55.97495,9.120189,2024-12-18,7330
"211",55.182743,14.703517,2021-03-05,3790
"212",55.69966,12.584786,1993-06-21,2100
"213",55.428055,9.923824,2001-05-31,5592
"214",55.704353,12.589039,2000-08-13,2100
"215",55.425003,11.206052,1993-08-15,4200
"216",55.842937,11.671622,2003-01-20,4500
"217",55.929592,11.535348,2010-03-23,4573
"218",56.686172,9.210485,2016-02-09,9640
"219",55.70723,8.752005,2011-11-28,6823
"220",55.74876,12.457355,2005-10-04,2880
"221",54.693913,11.376418,1995-06-23,4970
"222",55.039417,9.407823,2013-07-04,6200
"223",55.44036,10.060959,2016-03-18,5463
"224",56.017056,12.186511,2014-05-09,3200
"225",57.141705,10.226146,2001-05-11,9330
"226",55.697174,12.47182,2012-10-23,2720
"227",55.73156,12.435545,1994-04-05,2730
"228",55.69665,12.574604,1997-08-11,2100
"229",55.640076,12.3072,2011-08-01,2630
"230",55.64234,12.607933,2019-06-25,2300
"231",55.033627,12.102665,2023-09-13,4735
"232",55.56843,9.733281,2019-02-24,7000
"233",55.42185,10.279112,2000-03-03,5210
"234",55.499157,9.741391,2005-06-27,5500
"235",57.26404,9.631811,1997-04-10,9492
"236",55.437954,8.36077,2019-11-17,6720
"237",55.789387,12.592679,2024-07-23,2930
"238",55.48411,9.471559,2020-03-05,6000
"239",55.2022,11.959479,2003-05-03,4733
"240",56.32366,8.703807,1997-10-09,7500
"241",57.031345,9.958535,2015-04-22,9000
"242",56.1824,10.201494,1998-03-26,8200
"243",55.663628,12.504475,2002-06-20,2500
"244",55.155426,15.022512,1998-03-30,3751
"245",57.255642,9.592332,2019-10-03,9492
"246",56.093056,9.786372,2005-07-08,8680
"247",55.94496,12.0395155,2023-09-12,3300
"248",55.175236,11.656661,2016-06-16,4736
"249",55.949387,11.870055,2001-10-15,3390
"250",55.233807,9.7027855,1993-04-15,6100
"251",57.2885,9.657894,2018-07-24,9493
"252",55.672062,9.445721,1995-11-21,7100
"253",55.467373,10.193409,2008-12-19,5471
"254",55.436012,10.371134,2013-06-25,5270
"255",55.96089,11.871922,1998-10-19,3390
"256",56.12408,10.179931,1997-06-08,8260
"257",55.973118,10.144245,2022-03-09,8300
"258",54.600235,11.961498,2005-03-07,4874
"259",55.08451,14.711565,2021-07-02,3700
"260",55.865875,9.875026,2006-03-07,8700
"261",55.9688,12.022485,2018-02-08,3300
"262",55.446445,12.164715,2003-03-19,4600
"263",55.838806,12.414639,2004-09-27,3460
"264",55.767315,12.093426,2001-03-14,4040
"265",55.162273,8.774078,2017-09-20,6780
"266",55.00813,9.300931,2002-09-03,6392
"267",55.619625,12.140526,2002-07-05,4000
"268",55.69809,12.538037,1996-12-23,2200
"269",57.014015,10.180741,1999-02-05,9362
"270",55.68386,12.523835,2017-03-16,2000
"271",56.879185,9.398614,2015-04-29,9640
"272",56.030704,12.600021,2007-02-19,3000
