nr,longitude,latitude
1632,12.55545314,55.68343153
1633,12.5564173,55.68231545
1634,12.55549264,55.68187637
1635,12.55627711,55.68284156
1650,12.55197362,55.66872787
1651,12.56525239,55.67129215
1652,12.56197922,55.67242389
1653,12.5609699,55.67234568
1654,12.55933466,55.67158989
1655,12.55816022,55.67121581
1656,12.55631521,55.67137912
1657,12.55581577,55.67050611
1658,12.55413977,55.67049852
1659,12.55451216,55.67182348
1660,12.55264927,55.67089792
1661,12.55188166,55.67164674
1662,12.55084057,55.67152277
1663,12.54995271,55.67061559
1664,12.54919832,55.67191845
1665,12.54858405,55.67082135
1666,12.54734503,55.66979331
1667,12.54621289,55.66906572
1668,12.54794234,55.66882907
1669,12.54769264,55.66573477
1670,12.54504302,55.66709135
1671,12.54566781,55.66825809
1672,12.54639085,55.6685544
1673,12.5465375,55.66799575
1674,12.54312616,55.6656097
1675,12.54685256,55.66647464
1676,12.54842401,55.66619152
1677,12.54700046,55.66602386
1699,12.56294693,55.66810542
1700,12.56228976,55.66964694
1701,12.56331688,55.67179515
1702,12.5637674,55.67134085
1703,12.56292145,55.67056976
1704,12.5699623,55.67305739
1705,12.54517056,55.66349423
1706,12.55994889,55.67074811
1707,12.56062207,55.6718825
1708,12.55745219,55.6696213
1709,12.55436089,55.66829956
1710,12.56287023,55.67015852
1711,12.5594416,55.66770326
1712,12.55783183,55.66837077
1714,12.5584376,55.66603571
1715,12.56063662,55.66870393
1716,12.55886941,55.66884414
1717,12.55732037,55.6670686
1718,12.55560361,55.66711053
1719,12.55476615,55.66698025
1720,12.54064325,55.66359129
1721,12.55326244,55.66624074
1722,12.55418453,55.66657955
1723,12.5522664,55.66726948
1724,12.55200311,55.66809061
1725,12.55379172,55.66565101
1726,12.55256569,55.66564743
1727,12.55157104,55.66529918
1728,12.55064723,55.66481971
1729,12.54915072,55.66458741
1730,12.54822289,55.66439813
1731,12.54688486,55.66411741
1732,12.54573859,55.66393593
1733,12.54431734,55.66368886
1734,12.54568262,55.66523209
1735,12.54537668,55.66479718
1736,12.54364271,55.66524968
1737,12.54447071,55.66484287
1738,12.54375074,55.66449069
1739,12.54299209,55.664438
1749,12.53704741,55.66952602
1750,12.5398063,55.66769158
1751,12.54477144,55.67008603
1752,12.54294527,55.67003659
1753,12.54335814,55.66961867
1754,12.54411696,55.66925047
1755,12.54272296,55.66967755
1756,12.54203009,55.66900959
1757,12.54082339,55.66915035
1758,12.54297343,55.66758517
1759,12.5432819,55.66851692
1760,12.54546668,55.66571623
1761,12.54124611,55.66772397
1762,12.54086863,55.66555484
1763,12.54207733,55.6656842
1764,12.53940436,55.66497095
1765,12.53905783,55.66440364
1766,12.54067769,55.66414411
1770,12.5365578,55.66822916
1771,12.53917356,55.66852133
1772,12.53864545,55.6682938
1773,12.53801681,55.66818798
1774,12.53904722,55.66797162
1775,12.53683801,55.66788031
1777,12.53764622,55.66702322
1799,12.53344813,55.66585361
1800,12.53600765,55.67047098
1801,12.53414281,55.6690663
1802,12.53457921,55.67007767
1803,12.53340416,55.66997053
1804,12.53225891,55.67003692
1805,12.5311529,55.66804842
1806,12.53424914,55.6721564
1807,12.53331808,55.67115759
1808,12.53426314,55.67159046
1809,12.53554461,55.6716243
1810,12.53960125,55.67146453
1811,12.53677431,55.6725422
1812,12.53698945,55.67120846
1813,12.53865345,55.67238106
1814,12.54130724,55.67153382
1815,12.54237549,55.6727428
1816,12.54338951,55.67280184
1817,12.54298543,55.6720535
1818,12.54488147,55.67247144
1819,12.54936765,55.67398318
1820,12.53462279,55.67407429
1822,12.54608419,55.67268282
1823,12.54538991,55.67285485
1824,12.54712394,55.67414951
1825,12.5454441,55.67422815
1826,12.54450577,55.67479317
1827,12.54312856,55.67472699
1828,12.5419349,55.67482887
1829,12.54143187,55.67594343
1850,12.5362512,55.67774692
1851,12.53965438,55.67572373
1852,12.53849568,55.67648934
1853,12.53701022,55.67529526
1854,12.53452691,55.67515529
1855,12.53573489,55.67620071
1856,12.53738999,55.67661415
1857,12.53561489,55.67693751
1860,12.53719762,55.68109331
1861,12.53508153,55.67979174
1862,12.53618519,55.68004417
1863,12.53725843,55.67918107
1864,12.53709225,55.6783961
1865,12.53840772,55.67906052
1866,12.53802154,55.67777926
1867,12.53980769,55.67856694
1868,12.54048726,55.67769198
1870,12.54099176,55.68052551
1871,12.54271496,55.68208484
1872,12.54486513,55.68027144
1873,12.54531212,55.67981424
1874,12.546312,55.6794665
1875,12.54439633,55.67914852
1876,12.54513765,55.67796084
1877,12.54314122,55.676822
1878,12.54447671,55.67659707
1879,12.54791386,55.67944885
1900,12.55571599,55.67568449
1901,12.54638197,55.67596832
1902,12.54764912,55.67688481
1903,12.54962625,55.67760453
1904,12.5503761,55.67662945
1905,12.55050195,55.67515882
1906,12.55138892,55.67534886
1908,12.55353922,55.67446845
1909,12.55272852,55.67558015
1910,12.55012682,55.67957423
1911,12.55287463,55.67759267
1912,12.55170183,55.67947352
1913,12.55215583,55.67825536
1914,12.55360844,55.67839105
1915,12.55191481,55.67886014
1916,12.55696888,55.67755331
1917,12.55519671,55.67684523
1920,12.54975215,55.68036477
1921,12.55335595,55.67989699
1922,12.55207833,55.68060854
1923,12.55021079,55.6811586
1924,12.55169309,55.68134585
1925,12.55346186,55.68101368
1926,12.5563497,55.68001631
1927,12.55644595,55.67936955
1928,12.55637458,55.67873506
1950,12.53569241,55.68169351
1951,12.53659621,55.68207494
1952,12.53583526,55.68244847
1953,12.53719507,55.68293731
1954,12.5391162,55.68414812
1955,12.54040474,55.6836199
1956,12.54129064,55.6833691
1957,12.54256238,55.68329671
1958,12.54339865,55.68501919
1959,12.54131491,55.68571394
1960,12.54803396,55.68501875
1961,12.54710267,55.6819061
1962,12.54653218,55.68262187
1963,12.54809396,55.68129366
1964,12.54841915,55.68439097
1965,12.54828201,55.68343992
1966,12.54945981,55.68336984
1967,12.54978855,55.68419509
1970,12.54880394,55.68275244
1971,12.55227545,55.68421574
1972,12.55268155,55.68366621
1973,12.55429159,55.68367036
1974,12.55381232,55.6822106
2000,12.51562935,55.67945641
2100,12.57364633,55.7109795
2150,12.61612961,55.72293927
2200,12.54914572,55.6940569
2300,12.6554181,55.67362511
2400,12.52876704,55.71256101
2450,12.52309722,55.64077611
2500,12.49869399,55.65941452
2600,12.39697754,55.6741838
2605,12.40439537,55.64503648
2610,12.44863533,55.68182922
2620,12.34477556,55.6869516
2625,12.36481979,55.63922355
2630,12.28083382,55.6579409
2635,12.39483896,55.58776321
2640,12.19945854,55.66357137
2650,12.46097002,55.58934868
2660,12.42233883,55.61998785
2665,12.38841202,55.61964832
2670,12.3529229,55.54103195
2680,12.26072581,55.5150734
2690,12.21374503,55.5692769
2700,12.48463422,55.70964347
2720,12.48194421,55.6883311
2730,12.42581802,55.74057031
2740,12.39724634,55.71528471
2750,12.3638449,55.73668449
2760,12.32084626,55.75323652
2765,12.28121197,55.72556424
2770,12.78698239,55.63352245
2791,12.59121712,55.5081121
2800,12.52083673,55.78572204
2820,12.53343057,55.75145806
2830,12.46836985,55.78962271
2840,12.48640452,55.81684549
2850,12.54388723,55.81751707
